,vo600GLB_cluster1,vo600GLB_cluster2,vo600GLB_cluster3,vo600GLB_cluster4,vo600GLB_cluster5,vo600GLB_cluster6,vo600GLB_cluster7,vo600GLB_cluster8
1974-12-01,4.8959264e-06,3.4878758e-07,-8.592018e-06,6.7408895e-05,-1.45525555e-05,1.7218117e-06,-4.3248758e-05,0.00017053915
1975-01-01,7.751401e-06,-1.4593388e-07,-7.2728e-06,2.4860898e-05,-1.0999538e-05,2.0314837e-06,-3.511865e-05,0.00012998842
1975-02-01,6.068087e-06,-2.608096e-06,-5.346621e-06,4.0546696e-05,-1.023744e-05,2.559089e-06,-7.5861535e-05,0.00013852223
1975-03-01,3.1118216e-06,1.1018928e-06,-7.122053e-06,5.9331134e-05,-4.157413e-06,-4.341655e-06,-6.434633e-05,0.00014348005
1975-04-01,7.877021e-06,4.585767e-06,-8.780244e-06,8.81987e-05,-7.2309267e-06,-1.4188881e-06,-5.038572e-05,0.00014310319
1975-05-01,5.138496e-06,-1.7036291e-06,-2.984958e-06,9.8507946e-05,-4.2327847e-06,-3.47069e-06,-4.5335775e-05,0.00018565501
1975-06-01,1.41580385e-05,2.6344642e-06,3.6812999e-06,7.041923e-05,-8.420131e-06,-2.2982313e-06,-2.2171374e-05,2.2231245e-05
1975-07-01,1.3998921e-05,1.3028875e-06,1.1688899e-06,7.9623016e-05,-4.9865084e-06,-1.5011017e-05,-3.1090425e-05,-7.775281e-06
1975-08-01,1.0280557e-05,3.9911647e-06,-1.7706261e-06,6.3660846e-05,-4.2997817e-06,-7.498915e-06,-3.7781803e-05,-3.111555e-05
1975-09-01,9.015977e-06,3.5808043e-06,-2.2898566e-06,0.00010658953,-4.8525144e-06,-4.2160354e-06,-3.2731867e-05,-3.2864446e-06
1975-10-01,9.024352e-06,4.235444e-07,4.535519e-06,8.7118366e-05,-6.65307e-06,-4.643145e-06,-5.913727e-05,8.808983e-05
1975-11-01,1.1327393e-05,5.0380004e-06,-1.6868798e-06,8.5828666e-05,-9.626088e-06,-1.0755248e-06,-8.264503e-05,0.00016635134
1975-12-01,-1.8292485e-06,3.0113224e-06,-7.314673e-06,5.0621453e-05,4.486683e-07,-8.731149e-08,-3.6399982e-05,0.00024471333
1976-01-01,9.736308e-06,2.4593028e-06,-1.225013e-05,5.094831e-05,-1.1409065e-05,1.5816695e-06,-5.7118916e-05,0.000108359876
1976-02-01,1.1957811e-05,2.9529692e-06,-5.283946e-06,5.279499e-05,-7.3408883e-06,1.8193605e-06,-3.3706325e-05,0.00022818368
1976-03-01,-3.958361e-06,1.8102219e-06,-6.3444168e-06,6.9835616e-05,1.7827988e-06,1.5085388e-06,-4.6870773e-05,0.00016696905
1976-04-01,5.7961224e-06,-3.2270036e-06,-5.8141813e-06,7.982779e-05,-9.059579e-06,-3.556117e-06,-5.4522592e-05,0.00013029146
1976-05-01,1.0193406e-05,-9.963624e-07,5.3847325e-06,7.467172e-05,-4.2874744e-06,-4.945694e-06,-5.0545845e-05,0.00017122008
1976-06-01,1.1592128e-05,4.580237e-06,6.9205853e-06,6.280544e-05,-1.0065196e-05,-8.977302e-06,-1.4179081e-05,9.950131e-05
1976-07-01,1.5029509e-05,5.165326e-06,-1.9014187e-06,9.138324e-05,-6.9569287e-06,-3.693247e-06,-2.3074223e-05,2.7499154e-05
