,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1970-03-01,-1.1517575e-05,-5.1729257e-06,-1.7319326e-05,2.1291482e-05,1.2932724e-06,-2.1476168e-05,5.887672e-06,-5.6343386e-05,2.5492373e-06,1.1150041e-06
1970-04-01,-2.1586093e-06,-3.560428e-06,-1.5731137e-05,-1.7337152e-07,-4.3059044e-06,4.9107257e-07,1.2297149e-05,-4.6028268e-05,1.6254926e-06,2.3142493e-06
1970-05-01,-6.7449073e-06,-1.1133197e-06,1.2689634e-06,1.5687729e-06,1.7470375e-06,-2.1362728e-05,1.8690418e-05,-4.0769417e-05,5.442009e-06,3.3109172e-06
1970-06-01,-4.2572865e-06,-2.077577e-06,-6.4288906e-06,-1.3316443e-05,5.4339034e-06,-2.1508582e-05,1.9063156e-05,-3.8678845e-05,-1.1096221e-05,-4.5697743e-07
1970-07-01,7.597406e-06,-2.9932162e-06,-5.1081006e-06,-2.2963613e-06,5.4258016e-06,-1.6954691e-05,2.3349645e-05,-3.9083992e-05,-2.0860338e-05,-9.431569e-07
1970-08-01,2.3552218e-05,-3.398367e-06,-6.631468e-06,-1.8153936e-05,1.609289e-06,-1.117725e-05,1.0295706e-05,-3.299053e-05,-1.5990434e-05,-2.7060742e-07
1970-09-01,8.221337e-06,2.9202056e-08,3.857349e-07,-1.4070021e-05,5.0727976e-07,-1.3462297e-05,2.482439e-05,-3.195335e-05,-8.705836e-06,-1.6562226e-06
1970-10-01,-1.0456082e-05,1.4264515e-07,-9.921285e-06,9.347656e-06,5.8471596e-06,-1.452379e-05,3.1776766e-05,-3.4627337e-05,-4.2248757e-06,-4.002577e-07
1970-11-01,-6.3640655e-06,1.8361716e-06,-6.185801e-06,-6.4045817e-06,2.298042e-06,-2.6204798e-06,2.13401e-05,-7.209562e-05,-1.502267e-06,2.3547655e-06
1970-12-01,-1.744087e-05,1.750559e-07,-1.6233524e-05,-1.1866006e-05,-3.0013216e-06,2.9705916e-06,1.2645578e-05,-3.0794617e-05,3.0597257e-06,1.7389357e-06
1971-01-01,1.3511817e-06,-6.592498e-06,-1.1791541e-05,-1.0804804e-05,-2.222645e-06,-3.093297e-06,1.4062727e-05,-6.7496796e-05,-5.663798e-06,1.7243219e-06
1971-02-01,-9.917567e-06,-7.355353e-06,-1.079651e-05,-1.4934187e-05,-2.181183e-06,-1.1020391e-05,1.0853746e-05,-6.505068e-05,4.477246e-06,-1.1115226e-06
1971-03-01,-2.0357118e-05,-6.086688e-06,-1.36986855e-05,-1.3060213e-05,-2.9274597e-06,1.5501901e-06,1.2810644e-05,-4.679182e-05,9.833839e-06,-1.8992578e-06
1971-04-01,-1.8350467e-05,-3.4166842e-06,-6.376904e-06,-2.341684e-05,1.6579834e-06,-1.4104997e-05,1.411248e-05,-7.066432e-05,1.5356269e-05,-2.4879846e-06
1971-05-01,-1.24134385e-05,1.6414015e-06,-6.5593267e-06,-1.4088408e-05,-2.3257599e-07,-1.143499e-05,2.450228e-05,-3.34418e-05,1.3180143e-06,-6.758335e-06
1971-06-01,-1.5675796e-06,2.7359383e-06,-8.740106e-06,-1.46108e-05,3.855348e-06,-2.1451655e-05,1.821699e-05,-4.392281e-05,-1.712326e-05,1.9896615e-06
1971-07-01,1.2014618e-05,-2.9937946e-06,-5.8628066e-06,1.0526746e-06,6.260012e-06,-1.421279e-05,2.1135751e-05,-3.582988e-05,-1.8814819e-05,-1.9324252e-06
1971-08-01,2.7553715e-05,-1.0286058e-06,-4.3619657e-06,-1.1617412e-05,8.8683373e-07,-8.109921e-06,2.7072781e-05,-4.1634237e-05,-1.5738507e-05,-1.6090416e-06
1971-09-01,8.880266e-06,4.2248575e-07,-8.151383e-06,-5.33212e-06,6.152215e-06,-1.813488e-05,2.6450887e-05,-3.9818304e-05,-1.7280807e-05,-5.310867e-07
1971-10-01,-1.0340453e-05,7.541639e-07,-5.062102e-07,5.0825547e-06,3.6231759e-06,-1.19076285e-05,2.0679698e-05,-4.6352354e-05,-1.1327196e-05,1.3926438e-06
1971-11-01,-1.4030367e-05,2.4291367e-06,1.7823622e-06,-5.497961e-06,6.1190476e-06,-1.0514581e-05,1.813407e-05,-4.5473404e-05,5.745911e-06,6.898492e-06
1971-12-01,-1.2869496e-05,-7.5958196e-06,-1.4901023e-05,-3.7069003e-06,-2.056804e-06,-9.1049515e-06,2.0190473e-05,-4.9785216e-05,2.9183611e-06,-1.3307363e-07
1972-01-01,-1.6474776e-05,-4.3292384e-06,-1.3549863e-05,-1.10619e-05,-5.6222634e-06,-6.4633787e-07,1.9694315e-05,-4.5411834e-05,8.877476e-06,4.1333988e-06
1972-02-01,-9.65294e-06,-5.854119e-06,-6.6210196e-06,-1.7072241e-05,1.1728116e-06,-9.4121715e-06,1.3416444e-05,-5.4400596e-05,1.6632766e-06,4.6149435e-06
1972-03-01,-1.6323182e-05,-5.675771e-06,-5.60443e-06,-3.1343006e-06,1.3868339e-06,-1.04911815e-05,2.260742e-06,-6.711686e-05,2.5728514e-06,-5.310154e-06
1972-04-01,-2.0014995e-05,-2.7151837e-06,-4.0438827e-06,-8.823619e-06,-2.9113653e-06,2.7868664e-06,1.5387195e-05,-3.536189e-05,1.0446944e-05,-4.0438827e-06
1972-05-01,-1.6831473e-05,2.0081643e-07,-5.149639e-06,-2.3644388e-05,-2.1712185e-06,-1.0830045e-05,1.3220262e-05,-4.201429e-05,-8.770119e-06,-8.796873e-06
1972-06-01,-1.1457159e-06,-5.036636e-07,-3.2056414e-06,-6.6923603e-06,4.2760803e-06,-1.8249346e-05,7.923307e-06,-2.9075105e-05,-1.4397017e-05,2.100227e-06
1972-07-01,7.834133e-06,-1.9304498e-06,-6.9598827e-06,-2.893532e-06,5.685033e-06,-2.0122003e-05,4.766538e-06,-2.7541304e-05,-1.765188e-05,3.223824e-06
1972-08-01,1.1998571e-05,-2.099885e-06,-7.3254923e-06,-7.780283e-06,4.9092196e-06,-1.6019985e-05,1.9578387e-05,-3.7858772e-05,-2.2734814e-05,-4.3232285e-07
1972-09-01,3.0722294e-06,-6.670598e-08,-2.5546688e-06,-4.8642833e-06,3.5626872e-06,-1.6546117e-05,2.0594973e-05,-4.341433e-05,-1.288105e-05,-1.1724696e-06
1972-10-01,-6.1216415e-06,-1.8858627e-06,-3.2859025e-06,-5.3636613e-06,6.8264635e-06,-1.8668463e-05,2.0764404e-05,-4.149708e-05,-5.9283775e-07,-1.859109e-06
1972-11-01,-9.6172735e-06,1.6097692e-06,-1.24886865e-05,-1.3567696e-05,8.339557e-07,-3.431487e-07,1.6849655e-05,-5.819051e-05,3.2149037e-06,6.255752e-06
1972-12-01,-8.5382635e-06,-5.889786e-06,-1.1605858e-05,-1.7241677e-05,-2.9024523e-06,6.933471e-06,6.4341e-06,-4.6241148e-05,2.314242e-06,-1.1189622e-06
1973-01-01,-1.1794218e-05,-6.7331275e-06,-1.4510573e-05,-1.4685356e-06,8.4080966e-07,-4.432637e-06,-2.158682e-06,-7.538307e-06,2.4777037e-06,-3.7247883e-06
1973-02-01,-1.802326e-05,-4.0787127e-06,-1.4970676e-05,-2.2907385e-05,-3.9791485e-07,-6.998569e-06,-2.5391491e-06,-3.381705e-05,2.7101858e-05,1.5132609e-06
1973-03-01,-1.3015255e-05,-3.7867285e-06,-1.252861e-05,-2.2914028e-06,-1.3004174e-06,-6.193397e-06,8.635954e-06,-5.062836e-05,2.7696879e-06,1.451328e-06
1973-04-01,-1.6182858e-05,-4.7423164e-06,-1.4961828e-05,1.49446205e-05,-4.3997716e-08,-1.7120758e-05,6.583203e-06,-3.9701008e-05,-6.4146006e-06,1.4247853e-06
1973-05-01,-9.998068e-06,-6.722039e-07,-7.63563e-06,1.3097597e-06,4.7958965e-06,-1.7536615e-05,1.6846956e-05,-5.5539036e-05,-4.069865e-06,-3.6717029e-06
