,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7
1977-06-01,3.1706948,0.23989868,2.0041084,0.6436218,1.7221038,-0.6627289,-3.007578
1977-07-01,3.8652692,0.16063996,0.8863512,-0.69280434,1.1485412,-0.45538253,-3.3667183
1977-08-01,4.1225057,0.267852,2.367495,-0.25759012,0.10508804,-0.13551788,-3.3614109
1977-09-01,5.990388,0.3821396,2.6003165,0.088458255,0.121010974,-0.15533295,-3.4201474
1977-10-01,2.3568802,0.4199993,3.1031127,0.99639285,1.1234188,-0.053074647,-3.1961713
1977-11-01,1.9729713,0.3563095,1.9733254,1.8724829,2.5359192,-0.43946075,-2.8444614
1977-12-01,-0.45325965,0.8859974,-2.6395926,1.4153309,4.3892946,-0.6630829,-1.9924322
1978-01-01,0.5005924,1.4358028,-4.162875,1.5544894,5.7741575,-1.1906074,-1.4531467
1978-02-01,1.494976,1.8170284,-3.6806464,2.2264805,5.633706,-0.97125816,-1.3269783
1978-03-01,0.7046383,0.81822395,-3.0797317,2.113235,3.8017151,-0.9148056,-1.8843635
1978-04-01,1.0453949,0.9712578,-1.15728,1.6187637,2.8654842,-0.7410263,-2.1363602
1978-05-01,2.279192,0.79237825,1.0651191,1.4398838,1.5476879,-0.7298042,-2.3264632
1978-06-01,2.75802,0.47712785,3.3905625,0.6811733,0.75122833,-1.1844864,-2.7967887
1978-07-01,2.371013,0.31593055,1.7116047,-0.59989434,-0.31763154,-0.9178665,-2.5451322
1978-08-01,3.5854259,0.062913515,3.5507379,-0.030946732,-0.3774849,-0.4679451,-2.901532
1978-09-01,2.6495357,0.5794903,3.8193984,-0.047950745,0.30538863,-0.52915955,-3.0487854
1978-10-01,4.112544,0.60125506,2.2145782,1.2919506,1.7796199,-0.36660308,-2.7627811
1978-11-01,1.436483,0.28226358,0.37034303,0.8539318,3.6996918,-0.39924964,-2.9396205
1978-12-01,1.8571575,0.95901567,-1.3953339,0.4502613,4.0040603,-1.0005051,-1.6599131
1979-01-01,-0.52327615,1.8716042,-3.0290542,1.3866818,4.8822255,-0.74210054,-1.2103733
1979-02-01,-0.881839,1.9367161,-1.3304886,1.0596344,2.6481934,-0.72069395,-0.053219605
1979-03-01,0.23041992,1.6952957,-4.198102,1.5748829,4.0547953,-0.77183187,0.09097862
1979-04-01,2.537592,0.7144505,1.6251297,1.2769724,1.5133384,-0.346373,-1.4407933
1979-05-01,-1.5005538,1.0536877,1.7523797,2.2221398,2.277143,-0.9187061,-1.6402924
1979-06-01,3.1066546,0.48611182,2.2914147,1.1440716,0.5295197,-0.73764074,-2.9232106
1979-07-01,3.8740277,0.025866318,2.0663462,-0.2895859,1.0049282,-0.32318267,-3.0852478
1979-08-01,5.032668,0.17422715,1.6444547,0.2452858,-0.31664163,-0.7813465,-3.2068505
1979-09-01,2.3996377,0.55122375,3.7494519,-0.014271164,-0.41921577,-0.9210846,-2.9802952
1979-10-01,0.463813,0.09395218,3.215175,2.3705003,2.1766503,-0.054706194,-2.8494763
1979-11-01,2.3922045,0.6270393,2.178434,2.1281877,2.38269,-0.49235535,-2.9291573
1979-12-01,1.477958,0.632391,-1.3694382,1.5267178,4.3955193,-0.8107807,-2.131161
1980-01-01,-0.32413158,1.5382751,-5.203325,1.7975798,4.935918,-1.1135277,-0.8521961
1980-02-01,-0.07630577,1.13311,-5.7830477,2.1142833,5.5699997,-0.37579042,-0.8846092
1980-03-01,0.6820267,1.6186326,-2.0025253,0.6722353,4.3183784,-0.6280052,-1.1746395
1980-04-01,0.384906,1.2668145,3.1599457,2.6707098,1.3583142,-0.65906715,-1.4636567
1980-05-01,1.2718788,0.55068624,2.891187,2.3897958,0.55304986,-0.49598923,-3.1336102
1980-06-01,3.2190323,0.16915627,2.0379777,0.37038803,0.42879945,-0.5858002,-3.4121604
1980-07-01,3.3287644,0.13370438,1.469397,-0.63273203,0.8177574,-0.71511537,-3.3517234
1980-08-01,3.214981,0.3646477,1.7580764,0.62732965,0.74617803,-0.29813385,-2.8000245
1980-09-01,0.92006147,0.66008073,3.8632443,-0.29644507,0.8390282,-0.60268176,-2.5785346
1980-10-01,1.79758,0.71342695,3.1970859,1.4569042,1.6763684,-0.5165844,-2.0346012
1980-11-01,1.7266762,0.7377373,0.6631195,1.4680462,3.6951008,-0.700597,-2.5717816
1980-12-01,1.9842937,1.0973206,-5.9579453,1.9913838,5.3201475,-0.6945194,-2.3759525
1981-01-01,-0.08405495,1.5364796,-6.786424,2.0033698,6.0714064,-1.0563759,-1.5056473
1981-02-01,-0.29364166,1.5574013,-5.2407675,1.4939015,5.597543,-0.5425026,-0.71244776
1981-03-01,-0.75098836,1.1378609,-0.46982574,2.5546818,3.5306733,-0.19784088,-1.1297859
1981-04-01,1.3724072,0.5924221,-1.0813347,1.5724506,2.5095344,-0.4918495,-2.3902423
1981-05-01,3.6451926,0.53185844,0.9190987,2.5910194,2.323806,-0.16994515,-2.6589246
1981-06-01,0.6709713,0.7131821,2.2559013,0.37365913,2.590653,-0.7399765,-2.5811095
1981-07-01,3.093514,0.13911286,1.3947971,-0.11562119,-0.24482346,-0.56158984,-2.9441237
1981-08-01,3.3699043,-0.00073394773,0.39825135,0.3927452,0.12479782,-0.24849395,-3.135725
1981-09-01,3.4833236,-0.17214736,2.5550485,1.2534825,0.3865059,-0.22573623,-2.7055402
1981-10-01,1.9086704,0.78916204,1.8737999,0.6797806,2.2309418,-0.64564437,-3.3097076
1981-11-01,0.23087578,0.6074711,2.4353898,2.279393,3.857716,-0.8504593,-2.131104
1981-12-01,-0.07671394,1.2454071,-1.188147,1.9127079,4.5848465,-0.95250016,-1.0226066
1982-01-01,-0.42253456,1.2468983,-4.4045854,1.0569837,5.0626516,-0.8495995,-1.0369247
1982-02-01,-1.9046417,1.6209028,-6.123842,1.7095511,5.3383017,-0.3749752,0.66356736
1982-03-01,0.03526497,1.5998733,-0.29959184,0.23488502,3.5449562,-0.3846813,-1.096455
1982-04-01,2.8519483,1.1414264,0.066971585,1.0786607,1.0521309,-0.4137993,-1.8104935
1982-05-01,2.2200866,1.038866,2.3423824,2.420678,1.7082567,-0.36688727,-2.6422982
1982-06-01,4.7552958,0.3930931,4.479968,-0.09447174,1.0699253,-0.496624,-3.1305099
1982-07-01,5.101476,0.38888702,0.58236045,-0.5519482,1.9046421,-0.6305672,-2.8147414
