,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8
1980-04-01,2210.5110500169835,1896.7704986857475,1433.0651511608714,1357.80126953125,1104.5560611908093,2594.947384565304,2063.1279147401146,1343.3557561013552
1980-05-01,2220.038770592731,1901.9420017705897,1428.4304336762764,1360.5350748697917,1106.2209216788347,2600.5435258914263,2075.6030024314414,1346.7013198717507
1980-06-01,2205.0887398097825,1895.311530282564,1429.4868576694544,1357.50341796875,1106.8463721129572,2590.7494178185093,2060.987947425064,1346.037657071004
1980-07-01,2195.5470872961955,1898.3802296290887,1431.843416455766,1356.1478678385417,1107.3598803391103,2580.8659480168267,2061.1632055165815,1345.8127722275997
1980-08-01,2216.9454823369565,1906.0682065018982,1434.7371705820863,1361.2478841145833,1108.2768602662732,2604.624743339343,2074.18100785236,1349.3024437828403
1980-09-01,2203.903463612432,1903.0799366603387,1438.1266849141725,1353.3181966145833,1108.1168761940503,2605.1505846854966,2071.6608787069517,1346.8791590327712
1980-10-01,2211.468638544497,1908.6685323269567,1442.9634201694544,1353.4154459635417,1108.0964200881892,2614.347174228766,2082.3576012436224,1344.5405133002628
1980-11-01,2198.502913765285,1901.7898131753795,1439.4220916318222,1351.6484375,1106.816574163312,2595.0469188201123,2079.025953643176,1342.7418666603292
1980-12-01,2204.4089939283285,1897.0940420560746,1435.2982641945423,1351.48583984375,1105.5084761573758,2596.392352764423,2071.101472815689,1340.9975845201882
1981-01-01,2211.03343134341,1904.6754640953561,1438.5050169179137,1351.7796223958333,1105.9977835442821,2615.674767127404,2083.3930813536354,1339.2544906751245
1981-02-01,2207.6847242272415,1903.4108384747371,1440.483759490537,1348.126708984375,1104.3154387494883,2606.717779697516,2084.0039311623086,1337.2226411262445
1981-03-01,2211.514945652174,1899.2050598714952,1433.70361328125,1355.3187662760417,1105.6100503846546,2614.7025866386216,2073.3641332509565,1341.9451418176163
1981-04-01,2207.8676970108695,1898.6753659827687,1431.158447265625,1355.6768391927083,1105.4781451495974,2606.242174979968,2069.427863919005,1342.8198890348453
1981-05-01,2212.1814230213995,1898.2023720429322,1426.358505034111,1357.3684895833333,1106.5368918872816,2598.3126126802886,2063.506083585778,1344.7126270395465
1981-06-01,2198.8021187160325,1904.1480518947137,1437.3283278774209,1347.5183919270833,1107.8215353353576,2604.3795072115386,2077.5893853635203,1344.2909443272954
1981-07-01,2202.781876273777,1904.1900919976633,1432.2613783285651,1355.9166666666667,1108.1021771160276,2597.982240334535,2074.9951420998086,1346.700806744331
1981-08-01,2190.783160665761,1901.2796847619743,1439.57304618728,1349.56787109375,1108.3269410778862,2588.7283716446314,2070.073466398278,1345.1024688450636
1981-09-01,2203.801959493886,1901.706303391501,1437.501375440141,1357.5933430989583,1108.4042744865583,2589.22119140625,2071.4592135682396,1346.9720080890488
1981-10-01,2213.521277386209,1904.7098035010222,1439.3702547315143,1356.878173828125,1107.5427459317002,2603.3599071013623,2075.96435546875,1345.8504195761893
1981-11-01,2206.3277534816575,1906.2220493209695,1443.7522350902289,1350.4701334635417,1106.8815139703875,2611.9704026442305,2087.4008490114797,1341.7947684769083
1981-12-01,2210.220602284307,1905.7718152197722,1440.4569384077906,1348.6197102864583,1106.0558069220797,2617.5433819110576,2082.16552734375,1340.399331962113
1982-01-01,2204.7789200492525,1903.926271812938,1434.7745653609156,1349.1949869791667,1106.2531450429858,2600.7635654547275,2079.6684420838646,1338.6538345201882
1982-02-01,2207.2086500084915,1903.848580333674,1440.3365873954667,1352.5899251302083,1105.6300134117425,2606.0662685296475,2079.8785774075254,1339.762270767077
