,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8
1978-11-01,-0.18194123,-1.1848263,-0.38020554,0.4189743,1.316436,0.06869545,-2.1275184,-1.4038357
1978-12-01,-0.8240051,-1.7265682,0.1792202,-0.54276216,0.8597134,0.4352978,-2.3070786,-1.2793678
1979-01-01,-0.95081633,-1.8281962,0.26669255,-0.55806196,-1.7818146,-2.4409642,-1.2641872,0.017541695
1979-02-01,-0.62287676,-1.0890687,-1.0102797,0.88689345,-0.5434936,-2.585757,-1.2847023,-1.5290962
1979-03-01,-0.25688094,-0.45102844,-0.35053557,0.44805527,-1.313245,-3.057895,-1.2537816,-0.024677277
1979-04-01,-0.46232644,-0.84764785,-1.5805317,0.501572,1.5939109,0.14330597,-3.3899968,0.9216793
1979-05-01,-0.58095586,-0.6371479,-1.0795543,-0.084437564,2.6746547,1.4250358,-2.2352214,0.7709404
1979-06-01,-0.38710555,0.3020729,-2.5307536,-0.037461855,1.7827069,-1.3382187,-3.4444053,-1.6215618
1979-07-01,-0.44537887,-0.13617095,-2.9755387,1.6185879,2.105889,-3.046894,-3.5838466,1.7048099
1979-08-01,-1.1449639,0.56460303,-3.6766098,0.64041823,4.576585,-2.3862586,-4.4674706,0.1073307
1979-09-01,-0.5916584,-0.6532032,-2.2940903,-0.26431388,1.2618091,0.61693037,-2.081509,-0.8642975
1979-10-01,-0.5839287,-1.1384224,-0.74388427,0.19652633,-0.8972996,-1.199075,-1.4336576,-1.15537
1979-11-01,-0.10197906,-1.1482341,-2.3455257,0.6760963,1.260025,-0.54081804,-3.3459942,-0.912463
1979-12-01,-0.05232773,-2.3898263,-0.7486416,-2.5366998,-0.90294856,0.4828415,-2.1641629,-1.0947173
1980-01-01,-0.59728014,-1.482227,-0.61821365,-2.4664395,-2.2520394,-1.8009565,-1.4376587,-1.7891392
1980-02-01,0.09217529,-0.63442004,-1.7985929,-0.24579926,-2.3985744,-3.3571258,-1.3860004,-0.072591975
1980-03-01,-0.44027862,-0.56284106,-2.489736,-0.64589995,-2.2203019,-2.6730733,-1.8087223,-0.96294117
1980-04-01,-0.25322762,-0.49531364,-0.6972206,-0.8042515,0.18131141,-0.77048796,-2.9350796,1.5659611
1980-05-01,-0.20764656,-0.6651451,-1.1820675,0.30353585,1.6821083,-1.2188705,-3.423978,1.2313626
1980-06-01,-0.20595856,-0.5017284,-3.0360332,1.210767,3.6792312,-0.8879852,-4.724556,1.2387905
1980-07-01,-0.38321838,0.64927596,-3.9314468,2.0940251,3.259887,-2.7463403,-4.0263224,-0.023634339
1980-08-01,-0.53414154,0.0550354,-3.2754178,0.111758426,-0.14552155,-2.685903,-3.8804634,0.48788565
1980-09-01,-0.75428164,-1.3890388,-2.9701934,0.72895813,-1.2610741,-2.8709283,-2.2037575,-0.32852095
1980-10-01,-0.37477723,-1.5619087,-2.2047703,0.36532325,1.8124363,0.40381393,-3.6211586,-0.02397194
1980-11-01,-0.49092445,-2.923938,-0.46695215,-1.0595051,-0.33966294,0.5412323,-0.2886795,-1.6365273
1980-12-01,-0.21304893,-2.3242939,-0.375115,-1.8289807,-0.2181137,-1.9670738,-2.1659422,-1.3927532
1981-01-01,-0.68858945,-3.0575433,0.4944191,-0.9011124,0.30134964,-2.5333927,-2.0187855,-2.39428
1981-02-01,-0.00036697387,-1.0750954,-1.0846386,-0.06937294,-2.2052484,-2.4482365,-1.3279941,-1.165757
1981-03-01,0.103141785,-0.7117138,-0.7201561,-0.9345144,0.94405746,0.16627464,-2.2283726,0.5520462
1981-04-01,-0.14902344,-1.2681649,-2.0301642,-1.7721264,-1.1962227,-0.13947983,0.14315033,-0.20114441
1981-05-01,-0.0132137295,-0.02716217,-1.140063,0.19820786,0.789529,1.0516045,-1.4494884,0.6045349
1981-06-01,-0.5259857,0.34062424,-2.315731,2.0301642,4.58815,-3.582428,-4.6744065,0.5744362
1981-07-01,-0.532592,1.412049,-4.1197915,1.1925522,2.214058,-3.401104,-4.2159586,1.311477
1981-08-01,-0.3079567,1.3459793,-3.1691265,2.3234391,2.0668693,-4.5786066,-4.075378,-1.7504708
1981-09-01,-0.42247695,-0.5971931,-2.8395143,0.84678805,0.4011879,-2.987069,-3.3581586,-1.2699997
1981-10-01,-0.59462434,-0.09249725,-2.9962456,-0.28042793,-0.042578124,-0.8809246,-2.0151153,1.0431617
1981-11-01,-0.09396515,-0.86440736,-1.519228,0.8225635,2.9874358,-1.8462715,-3.805228,0.15379448
1981-12-01,-0.46542206,-0.8600025,-0.39054316,2.1457863,-1.3500168,-3.6800628,-2.2162602,-0.019820785
1982-01-01,-0.5885075,-1.9088475,-1.0763958,-1.5979316,-1.4284004,-1.5277249,-2.3330002,-1.1123081
1982-02-01,-0.034294892,-0.93177664,-1.3171047,0.11388397,-0.64350814,-2.849683,-1.6936977,-1.3581936
1982-03-01,0.0006469727,-1.1013081,0.26432687,1.0091012,0.43515283,-2.7018282,-2.921831,-1.1935151
1982-04-01,-0.11323662,0.18538475,-1.3556054,0.2002674,0.1074131,0.54580116,-1.9557602,-0.06503029
1982-05-01,-0.5820366,-0.56715393,-1.2556331,-0.83827555,1.2468983,0.11485443,-1.7758751,2.7539172
1982-06-01,-0.104177855,-1.0175129,-1.8852295,1.9243771,3.991433,-4.228259,-4.489998,0.89359933
1982-07-01,-0.58656615,-1.2064568,-2.65621,1.2802219,3.4744256,-2.68274,-3.2366295,0.29312134
1982-08-01,-0.41865236,-0.11388359,-3.252159,0.23585625,1.8635528,-2.7581239,-3.7905183,0.24394456
1982-09-01,-0.5050354,-0.23100281,-3.126304,-0.0019412994,4.181671,-2.548797,-3.2133346,1.3083694
1982-10-01,-0.6244198,-1.9347302,-1.2320153,-0.3429455,0.6260376,-0.5739487,-1.313546,0.6380081
1982-11-01,-0.18247299,-1.415459,0.0831482,-0.87580526,-0.06955948,0.19412002,-0.6496555,-0.049824525
1982-12-01,-0.8376282,-1.7111686,-1.1857504,-1.0207481,-1.0566604,0.60856664,-0.4319172,0.48627073
1983-01-01,-0.5957581,-2.3846593,-1.0616925,-1.3948742,0.5449997,-0.35725936,-2.18488,0.97481805
1983-02-01,-0.62959707,-1.1654861,-1.282946,-0.30585098,-1.0392414,-2.7415936,-1.6815277,-0.70508367
1983-03-01,-0.05433731,-1.8624356,-1.0216713,-0.37938482,1.0906503,-0.1776535,-2.0511518,0.589901
1983-04-01,0.0719078,-1.4823997,0.9250355,0.9012836,-0.35758477,0.19327164,-3.438868,1.0756832
1983-05-01,0.024077605,-1.8721966,-0.574934,-0.9927136,0.3673462,0.82286835,-2.959268,1.1020381
1983-06-01,0.05791626,-1.282946,-1.4013821,1.6714413,1.5149368,-0.5495552,-3.9048023,0.9045372
1983-07-01,-0.5996628,0.11322975,-2.1965938,1.2019284,1.6652591,-0.8677704,-3.9575126,0.45454597
1983-08-01,-0.6956474,1.6031135,-3.3877845,2.3029907,2.0039735,-2.8509185,-3.5969994,-1.7947578
1983-09-01,-0.510836,-0.1591076,-3.124883,1.2881523,-0.97644424,-2.5405128,-2.409713,0.9387013
1983-10-01,-0.71386874,-1.2630985,-2.595176,0.06767769,0.6553013,-1.7579906,-2.412641,-0.0670269
1983-11-01,-0.14348984,0.58957595,-1.809725,1.5458473,1.8123283,-2.2265282,-3.335074,-1.3304504
